Souhrn Vá Ð äkoly, fakulty, studenti a absolventi (fyzickŽ osoby) Ð podle zÞizovatele, vysokŽ äkoly aÊfakulty;;;;;;;;;;;;;;;;;
k 31.12.;;;;;;;;;;;;;;;;;
stav SIMSu k 23.1.2023;;;;;;;;;;;;;;;;;
"ZÞizovatel
Vysok‡Êäkola
Fakulta";;;;;;Studenti (fyzickŽ osoby)  ve väech form‡ch studia a typech studijn’ch programó;;;;;;;;;;;
;;;;;;"studuj’c’
celkem";"z toho
ìeny";st‡tn’ ob‹anstv’ ‰R;;;cizinci;;;"studenti
s pÞeruäenùmi
studii";"jino-
pl‡tci3";"samo-
pl‡tci3)";
;;;;;;;;"studuj’c’
celkem";"poprvŽ
zapsan’
1)";"absol-
venti2)";"studuj’c’
celkem";"poprvŽ
zapsa-
n’1)";"absol-
venti2)";;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;22320;;Fakulta technologie ochrany prostÞed’;;;334 ;165 ;250 ;43 ;51 ;84 ;9 ;30 ;13 ;20 ;8 ;
;22330;;Fakulta potravin‡ÞskŽ a biochemickŽ technologie;;;1 239 ;869 ;995 ;278 ;286 ;244 ;80 ;39 ;48 ;2 ;24 ;
;22340;;Fakulta chemicko-inìenùrsk‡;;;958 ;426 ;759 ;196 ;159 ;199 ;49 ;45 ;26 ;9 ;25 ;
;22900;;celoäkolsk‡ pracoviätž;;;464 ;276 ;235 ;86 ;31 ;229 ;128 ;9 ;8 ;Ð ;79 ;
;23000;;Z‡pado‹esk‡ univerzita v Plzni;;;11 071 ;6 013 ;10 404 ;2 301 ;2 003 ;667 ;219 ;80 ;313 ;Ð ;44 ;
;23210;;Fakulta strojn’;;;827 ;111 ;775 ;162 ;147 ;52 ;15 ;3 ;8 ;Ð ;8 ;
;23220;;Fakulta elektrotechnick‡;;;821 ;43 ;749 ;245 ;123 ;72 ;36 ;4 ;5 ;Ð ;24 ;
;23310;;Fakulta zdravotnickùch studi’;;;848 ;722 ;825 ;222 ;162 ;23 ;11 ;2 ;68 ;Ð ;Ð ;
;23320;;Fakulta pr‡vnick‡;;;1 674 ;962 ;1 653 ;238 ;250 ;21 ;10 ;3 ;25 ;Ð ;Ð ;
;23330;;Filozofick‡ fakulta;;;1 551 ;945 ;1 388 ;362 ;209 ;163 ;59 ;21 ;42 ;Ð ;3 ;
;23410;;Fakulta designu a umžn’ L. Sutnara;;;743 ;564 ;612 ;109 ;191 ;131 ;29 ;31 ;21 ;Ð ;Ð ;
;23420;;Fakulta pedagogick‡;;;2 124 ;1 515 ;2 061 ;385 ;413 ;63 ;17 ;9 ;82 ;Ð ;Ð ;
;23510;;Fakulta ekonomick‡;;;1 662 ;1 013 ;1 585 ;372 ;348 ;77 ;23 ;4 ;26 ;Ð ;6 ;
;23520;;Fakulta aplikovanùch vžd;;;873 ;167 ;807 ;210 ;162 ;66 ;19 ;3 ;36 ;Ð ;3 ;
;24000;;Technick‡ univerzita v Liberci;;;6 140 ;3 433 ;5 637 ;1 220 ;951 ;503 ;116 ;62 ;167 ;2 ;106 ;
;24210;;Fakulta strojn’;;;665 ;57 ;602 ;146 ;114 ;63 ;25 ;11 ;8 ;Ð ;17 ;
;24220;;Fakulta mechatroniky, informatiky a mezioborovùch studi’;;;593 ;67 ;515 ;125 ;114 ;78 ;18 ;8 ;13 ;2 ;15 ;
;24310;;Ekonomick‡ fakulta;;;1 198 ;644 ;1 101 ;269 ;231 ;97 ;27 ;14 ;25 ;Ð ;35 ;
;24410;;Fakulta textiln’;;;612 ;438 ;448 ;111 ;52 ;164 ;26 ;14 ;27 ;Ð ;37 ;
;24510;;Fakulta pÞ’rodovždnž-humanitn’ a pedagogick‡;;;2 429 ;1 791 ;2 389 ;423 ;323 ;40 ;14 ;5 ;86 ;Ð ;Ð ;
;24520;;Fakulta umžn’ a architektury;;;212 ;126 ;177 ;23 ;40 ;35 ;2 ;6 ;4 ;Ð ;2 ;
;24530;;Fakulta zdravotnickùch studi’;;;420 ;301 ;401 ;124 ;76 ;19 ;4 ;3 ;4 ;Ð ;Ð ;
;24900;;celoäkolsk‡ pracoviätž;;;20 ;14 ;13 ;Ð ;1 ;7 ;Ð ;1 ;Ð ;Ð ;Ð ;
;25000;;Univerzita Pardubice;;;6 598 ;3 697 ;6 067 ;1 354 ;1 186 ;531 ;103 ;74 ;303 ;Ð ;11 ;
;25110;;Fakulta restaurov‡n’;;;96 ;81 ;82 ;15 ;17 ;14 ;Ð ;7 ;6 ;Ð ;Ð ;
;25210;;Fakulta filozofick‡;;;994 ;657 ;945 ;194 ;215 ;49 ;7 ;3 ;29 ;Ð ;Ð ;
;25310;;Fakulta chemicko-technologick‡;;;1 130 ;741 ;1 021 ;168 ;268 ;109 ;28 ;28 ;49 ;Ð ;Ð ;
;25410;;Fakulta ekonomicko-spr‡vn’;;;1 694 ;1 074 ;1 560 ;393 ;277 ;134 ;13 ;11 ;94 ;Ð ;11 ;
;25510;;Dopravn’ fakulta Jana Pernera;;;1 183 ;288 ;1 073 ;262 ;177 ;110 ;27 ;11 ;44 ;Ð ;Ð ;
;25520;;Fakulta zdravotnickùch studi’;;;951 ;815 ;921 ;210 ;167 ;30 ;9 ;7 ;67 ;Ð ;Ð ;
;25530;;Fakulta elektrotechniky a  informatiky;;;557 ;42 ;472 ;112 ;65 ;85 ;20 ;7 ;14 ;Ð ;Ð ;
;26000;;VysokŽ u‹en’ technickŽ v Brnž;;;17 426 ;4 870 ;12 920 ;2 696 ;3 237 ;4 506 ;1 125 ;824 ;367 ;Ð ;214 ;
;26110;;Fakulta stavebn’;;;3 458 ;1 388 ;2 705 ;492 ;681 ;753 ;210 ;117 ;37 ;Ð ;13 ;
;26210;;Fakulta strojn’ho inìenùrstv’;;;3 566 ;382 ;2 955 ;662 ;763 ;611 ;140 ;150 ;98 ;Ð ;30 ;
;26220;;Fakulta elektrotechniky a komunika‹n’ch technologi’;;;3 122 ;394 ;2 280 ;510 ;524 ;842 ;188 ;146 ;52 ;Ð ;65 ;
;26230;;Fakulta informa‹n’ch technologi’;;;2 700 ;292 ;1 542 ;401 ;263 ;1 158 ;334 ;160 ;39 ;Ð ;9 ;
;26310;;Fakulta chemick‡;;;1 107 ;700 ;816 ;208 ;211 ;291 ;102 ;61 ;24 ;Ð ;8 ;
;26410;;Fakulta architektury;;;547 ;333 ;390 ;78 ;85 ;157 ;36 ;36 ;16 ;Ð ;6 ;
;26420;;Fakulta vùtvarnùch umžn’;;;366 ;236 ;285 ;38 ;66 ;81 ;18 ;11 ;17 ;Ð ;Ð ;
;26510;;Fakulta podnikatelsk‡;;;2 266 ;1 017 ;1 752 ;293 ;581 ;514 ;92 ;130 ;65 ;Ð ;83 ;
;27000;;Vysok‡ äkola b‡Ësk‡ - Technick‡ univerzita  Ostrava;;;11 215 ;3 743 ;9 818 ;2 147 ;2 057 ;1 397 ;411 ;244 ;432 ;1 ;443 ;
;27120;;Fakulta stavebn’;;;1 172 ;479 ;972 ;233 ;224 ;200 ;51 ;34 ;32 ;1 ;48 ;
;27200;;Fakulta bezpe‹nostn’ho inìenùrstv’;;;1 225 ;440 ;1 162 ;310 ;175 ;63 ;8 ;12 ;48 ;Ð ;14 ;
;27230;;Fakulta strojn’;;;1 609 ;126 ;1 455 ;336 ;346 ;154 ;47 ;22 ;81 ;Ð ;94 ;
;27240;;Fakulta elektrotechniky a informatiky;;;2 310 ;261 ;1 877 ;470 ;339 ;433 ;142 ;65 ;94 ;Ð ;137 ;
;27350;;Hornicko-geologick‡ fakulta;;;1 367 ;571 ;1 181 ;196 ;212 ;186 ;49 ;28 ;69 ;Ð ;22 ;
;27360;;Fakulta materi‡lovž-technologick‡;;;813 ;266 ;724 ;112 ;209 ;89 ;20 ;13 ;33 ;Ð ;15 ;
;27510;;Ekonomick‡ fakulta;;;2 765 ;1 622 ;2 489 ;492 ;548 ;276 ;94 ;70 ;69 ;Ð ;113 ;
;27900;;celoäkolsk‡ pracoviätž;;;10 ;4 ;9 ;Ð ;4 ;1 ;Ð ;Ð ;6 ;Ð ;1 ;
;28000;;Univerzita Tom‡äe Bati ve Zl’nž;;;9 001 ;5 075 ;7 993 ;1 794 ;1 738 ;1 008 ;223 ;155 ;222 ;Ð ;232 ;
;28110;;Fakulta technologick‡;;;1 503 ;777 ;1 401 ;297 ;258 ;102 ;26 ;8 ;15 ;Ð ;20 ;
;28120;;Fakulta managementu a ekonomiky;;;1 942 ;1 232 ;1 631 ;385 ;344 ;311 ;66 ;43 ;80 ;Ð ;111 ;
;28130;;Fakulta multimedi‡ln’ch komunikac’;;;1 088 ;697 ;880 ;128 ;242 ;208 ;37 ;49 ;33 ;Ð ;15 ;
;28140;;Fakulta aplikovanŽ informatiky;;;1 367 ;196 ;1 087 ;236 ;206 ;280 ;65 ;37 ;31 ;Ð ;69 ;
;28150;;Fakulta humanitn’ch studi’;;;1 858 ;1 630 ;1 809 ;458 ;417 ;49 ;13 ;10 ;43 ;Ð ;Ð ;
;28160;;Fakulta logistiky a krizovŽho Þ’zen’;;;1 209 ;532 ;1 171 ;290 ;270 ;38 ;16 ;6 ;15 ;Ð ;Ð ;
;28900;;celoäkolsk‡ pracoviätž;;;56 ;23 ;35 ;Ð ;1 ;21 ;Ð ;2 ;5 ;Ð ;17 ;
;31000;;Vysok‡ äkola ekonomick‡ v Praze;;;14 472 ;7 619 ;10 535 ;1 857 ;2 267 ;3 937 ;802 ;723 ;466 ;Ð ;1 182 ;
;31110;;Fakulta financ’ a œ‹etnictv’;;;2 660 ;1 391 ;2 032 ;435 ;410 ;628 ;130 ;149 ;42 ;Ð ;54 ;
;31120;;Fakulta mezin‡rodn’ch vztahó;;;3 176 ;2 125 ;2 222 ;440 ;542 ;954 ;230 ;173 ;114 ;Ð ;362 ;
;31130;;Fakulta podnikohospod‡Þsk‡;;;3 504 ;2 031 ;2 339 ;360 ;563 ;1 165 ;254 ;225 ;73 ;Ð ;525 ;
;31140;;Fakulta informatiky a statistiky;;;2 739 ;859 ;1 949 ;262 ;379 ;790 ;97 ;126 ;79 ;Ð ;109 ;
;31150;;N‡rodohospod‡Þsk‡ fakulta;;;1 427 ;591 ;1 180 ;248 ;225 ;247 ;61 ;29 ;40 ;Ð ;130 ;
;31160;;Fakulta managementu  v JindÞichovž Hradci;;;1 039 ;652 ;876 ;124 ;149 ;163 ;30 ;21 ;118 ;Ð ;3 ;
;41000;;‰esk‡ zemždžlsk‡ univerzita v Praze;;;20 809 ;10 573 ;15 053 ;3 073 ;3 050 ;5 756 ;1 317 ;539 ;1 157 ;Ð ;140 ;
;41110;;Provoznž ekonomick‡ fakulta;;;9 808 ;4 606 ;5 755 ;1 018 ;1 431 ;4 053 ;913 ;391 ;344 ;Ð ;137 ;
;41210;;Fak. agrobiologie, potrav. a pÞ’r. zdr.;;;4 340 ;3 218 ;3 880 ;882 ;648 ;460 ;147 ;38 ;312 ;Ð ;Ð ;
;41310;;Technick‡ fakulta;;;1 391 ;165 ;1 144 ;288 ;149 ;247 ;75 ;8 ;35 ;Ð ;1 ;
;41320;;Fakulta lesnick‡ a dÞevaÞsk‡;;;1 699 ;576 ;1 531 ;386 ;257 ;168 ;52 ;15 ;142 ;Ð ;1 ;
;41330;;Fakulta ìivotn’ho prostÞed’;;;2 687 ;1 462 ;2 188 ;368 ;409 ;499 ;114 ;48 ;251 ;Ð ;Ð ;
